"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BOMDYEING","EQ","27-Mar-2017","         81.85","         82.00","         88.20","         82.00","         87.75","         87.70","         86.36","   12355317","          1066987801.50","      46153","    2218599","         17.96"
"BOMDYEING","EQ","28-Mar-2017","         87.70","         88.50","         90.70","         86.50","         87.65","         87.65","         88.87","   10890248","           967795762.70","      40747","    1886708","         17.32"
"BOMDYEING","EQ","29-Mar-2017","         87.65","         88.15","         88.45","         82.50","         82.75","         83.10","         85.33","    5652777","           482335000.25","      22928","    1718032","         30.39"
"BOMDYEING","EQ","30-Mar-2017","         83.10","         83.50","         84.70","         81.60","         82.45","         82.30","         83.00","    3879106","           321962021.20","      15333","    1039049","         26.79"
"BOMDYEING","EQ","31-Mar-2017","         82.30","         82.50","         84.45","         82.45","         82.90","         83.00","         83.46","    2401072","           200390972.45","      10966","     634999","         26.45"
"BOMDYEING","EQ","03-Apr-2017","         83.00","         83.70","         85.40","         82.20","         84.50","         84.35","         83.99","    2696662","           226487051.45","      11427","     700219","         25.97"
"BOMDYEING","EQ","05-Apr-2017","         84.35","         85.05","         86.70","         84.65","         84.90","         84.95","         85.70","    7481644","           641204601.80","      16238","    2712521","         36.26"
"BOMDYEING","EQ","06-Apr-2017","         84.95","         85.15","         85.45","         82.75","         83.40","         83.60","         83.65","    3207976","           268349155.80","       9366","    1393456","         43.44"
"BOMDYEING","EQ","07-Apr-2017","         83.60","         83.00","         86.15","         81.55","         82.05","         82.05","         83.59","    4227296","           353375019.25","      17500","    1267119","         29.97"
"BOMDYEING","EQ","10-Apr-2017","         82.05","         82.70","         83.30","         79.65","         80.00","         80.15","         81.26","    2413156","           196086096.65","       9816","     928574","         38.48"
