"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","27-Mar-2017","        900.20","        899.85","        913.35","        895.10","        898.10","        898.80","        904.09","    2830764","          2559258540.05","      31258","    2156284","         76.17"
"HINDUNILVR","EQ","28-Mar-2017","        898.80","        900.00","        905.00","        897.50","        904.00","        903.10","        901.00","     565803","           509786635.35","      14952","     333286","         58.90"
"HINDUNILVR","EQ","29-Mar-2017","        903.10","        904.20","        914.90","        900.35","        912.45","        912.55","        907.33","    1067420","           968502236.15","      33621","     832871","         78.03"
"HINDUNILVR","EQ","30-Mar-2017","        912.55","        911.10","        923.80","        909.20","        919.00","        919.20","        918.44","    2105056","          1933371981.35","      45021","    1625306","         77.21"
"HINDUNILVR","EQ","31-Mar-2017","        919.20","        919.20","        920.25","        905.20","        911.80","        911.75","        914.34","    1454650","          1330047555.35","      42780","    1078291","         74.13"
"HINDUNILVR","EQ","03-Apr-2017","        911.75","        914.00","        924.35","        904.40","        922.40","        920.65","        915.58","     832000","           761766589.45","      33567","     520407","         62.55"
"HINDUNILVR","EQ","05-Apr-2017","        920.65","        918.15","        937.45","        918.15","        935.05","        935.35","        930.33","    2246395","          2089884300.65","      38095","    1907166","         84.90"
"HINDUNILVR","EQ","06-Apr-2017","        935.35","        930.85","        936.25","        921.00","        933.40","        934.65","        929.60","    1588953","          1477083478.50","      38043","    1183384","         74.48"
"HINDUNILVR","EQ","07-Apr-2017","        934.65","        925.70","        932.70","        921.20","        922.00","        924.50","        925.00","     770117","           712357250.00","      22920","     521183","         67.68"
"HINDUNILVR","EQ","10-Apr-2017","        924.50","        922.80","        929.70","        916.00","        924.00","        925.95","        921.30","     460843","           424573931.00","      21466","     250069","         54.26"
"HINDUNILVR","EQ","11-Apr-2017","        925.95","        922.95","        925.80","        917.25","        923.30","        923.70","        923.62","     715100","           660477624.45","      30480","     522882","         73.12"
"HINDUNILVR","EQ","12-Apr-2017","        923.70","        920.20","        925.70","        918.45","        923.50","        923.75","        922.59","    2006885","          1851539250.05","      23873","    1773424","         88.37"
"HINDUNILVR","EQ","13-Apr-2017","        923.75","        921.85","        929.20","        918.50","        922.90","        923.85","        923.32","    1200252","          1108214839.00","      18978","     980581","         81.70"
"HINDUNILVR","EQ","17-Apr-2017","        923.85","        923.00","        923.80","        912.10","        914.00","        914.05","        919.00","     449115","           412734463.60","      16838","     299232","         66.63"
